compte_courant,duree_mois,historique_credit,objectif_credit,montant_credit,epargne,emploi_depuis,taux_remboursement,statut_personnel,garants,residence_depuis,patrimoine,age,autres_credits,logement,nb_credits_banque,emploi,personnes_a_charge,telephone,travailleur_etranger,classe
< 0 DM (découvert),6,Crédits en cours remboursés,Meubles/Équipement,1374,< 100 DM,1-4 ans,1,Homme célibataire,Aucun,2,Immobilier,36,Banque,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,6,Aucun crédit / tous remboursés,Radio/Télévision,426,< 100 DM,>= 7 ans,4,Homme marié/veuf,Aucun,4,Voiture ou autre,39,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
>= 200 DM,12,Tous crédits remboursés ici,Radio/Télévision,409,>= 1000 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,3,Immobilier,42,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,7,Crédits en cours remboursés,Radio/Télévision,2415,< 100 DM,1-4 ans,3,Homme célibataire,Garant,2,Immobilier,34,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),60,Retards de paiement passés,Business,6836,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,63,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,18,Crédits en cours remboursés,Business,1913,>= 1000 DM,< 1 an,3,Homme marié/veuf,Aucun,3,Immobilier,36,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Meubles/Équipement,4020,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,27,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Voiture (neuve),5866,100-500 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,30,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Business,1264,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,57,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
>= 200 DM,12,Crédits en cours remboursés,Meubles/Équipement,1474,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,33,Banque,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,45,Compte critique / autres crédits,Radio/Télévision,4746,< 100 DM,< 1 an,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,25,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,48,Compte critique / autres crédits,Éducation,6110,< 100 DM,1-4 ans,1,Homme célibataire,Aucun,3,Aucun patrimoine,31,Banque,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
>= 200 DM,18,Crédits en cours remboursés,Radio/Télévision,2100,< 100 DM,1-4 ans,4,Homme célibataire,Co-demandeur,2,Immobilier,37,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
>= 200 DM,10,Crédits en cours remboursés,Électroménager,1225,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,37,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Radio/Télévision,458,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,3,Immobilier,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,30,Crédits en cours remboursés,Radio/Télévision,2333,500-1000 DM,>= 7 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,30,Banque,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1158,500-1000 DM,1-4 ans,3,Homme divorcé/séparé,Aucun,1,Voiture ou autre,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,18,Retards de paiement passés,Réparations,6204,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,4,Immobilier,44,Aucun,Propriétaire,1,Non qualifié (résident),2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),30,Compte critique / autres crédits,Voiture (occasion),6187,100-500 DM,4-7 ans,1,Homme marié/veuf,Aucun,4,Voiture ou autre,24,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),48,Compte critique / autres crédits,Voiture (occasion),6143,< 100 DM,>= 7 ans,4,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,58,Magasins,Gratuit,2,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,11,Compte critique / autres crédits,Voiture (neuve),1393,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Voiture ou autre,35,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Non,Oui,Bon client
Pas de compte,36,Crédits en cours remboursés,Radio/Télévision,2299,500-1000 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,39,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),6,Crédits en cours remboursés,Voiture (occasion),1352,500-1000 DM,Sans emploi,1,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,23,Aucun,Location,1,Sans emploi/Non qualifié (non-résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,11,Compte critique / autres crédits,Voiture (neuve),7228,< 100 DM,1-4 ans,1,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,39,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,2073,100-500 DM,1-4 ans,4,Femme divorcée/mariée,Co-demandeur,2,Immobilier,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,24,Retards de paiement passés,Meubles/Équipement,2333,Pas d'épargne,< 1 an,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,29,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,27,Retards de paiement passés,Voiture (occasion),5965,< 100 DM,>= 7 ans,1,Homme célibataire,Aucun,2,Voiture ou autre,30,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,1262,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,2,Voiture ou autre,25,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Voiture (occasion),3378,Pas d'épargne,1-4 ans,2,Homme célibataire,Aucun,1,Épargne logement/Assurance vie,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,36,Retards de paiement passés,Voiture (neuve),2225,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,57,Banque,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,6,Tous crédits remboursés ici,Voiture (neuve),783,Pas d'épargne,1-4 ans,1,Homme célibataire,Garant,2,Immobilier,26,Magasins,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,6468,Pas d'épargne,Sans emploi,2,Homme célibataire,Aucun,1,Aucun patrimoine,52,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,36,Compte critique / autres crédits,Radio/Télévision,9566,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,2,Voiture ou autre,31,Magasins,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,18,Crédits en cours remboursés,Voiture (neuve),1961,< 100 DM,>= 7 ans,3,Femme divorcée/mariée,Aucun,2,Voiture ou autre,23,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Non,Oui,Bon client
< 0 DM (découvert),36,Compte critique / autres crédits,Meubles/Équipement,6229,< 100 DM,< 1 an,4,Femme divorcée/mariée,Co-demandeur,4,Aucun patrimoine,23,Aucun,Location,2,Non qualifié (résident),1,Oui (à son nom),Oui,Mauvais client
0-200 DM,9,Crédits en cours remboursés,Business,1391,< 100 DM,1-4 ans,2,Homme marié/veuf,Aucun,1,Immobilier,27,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,15,Compte critique / autres crédits,Radio/Télévision,1537,Pas d'épargne,>= 7 ans,4,Homme célibataire,Garant,4,Immobilier,50,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,36,Aucun crédit / tous remboursés,Business,1953,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,61,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,48,Aucun crédit / tous remboursés,Business,14421,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,25,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,3181,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,27,Crédits en cours remboursés,Réparations,5190,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,48,Aucun,Propriétaire,4,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,2171,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,2,Voiture ou autre,29,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),1007,>= 1000 DM,1-4 ans,4,Homme marié/veuf,Aucun,1,Immobilier,22,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,36,Crédits en cours remboursés,Éducation,1819,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,37,Magasins,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,36,Crédits en cours remboursés,Radio/Télévision,2394,Pas d'épargne,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Voiture ou autre,25,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,36,Crédits en cours remboursés,Voiture (occasion),8133,< 100 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,30,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,7,Compte critique / autres crédits,Radio/Télévision,730,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,46,Aucun,Location,2,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),8,Compte critique / autres crédits,Autres,1164,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,51,Banque,Gratuit,2,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Bon client
0-200 DM,42,Compte critique / autres crédits,Business,5954,< 100 DM,4-7 ans,2,Femme divorcée/mariée,Aucun,1,Immobilier,41,Banque,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Éducation,1977,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,40,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),12,Compte critique / autres crédits,Voiture (occasion),1526,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,66,Aucun,Gratuit,2,Cadre/Indépendant/Dirigeant,1,Non,Oui,Bon client
< 0 DM (découvert),42,Crédits en cours remboursés,Radio/Télévision,3965,< 100 DM,< 1 an,4,Homme célibataire,Aucun,3,Voiture ou autre,34,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,11,Retards de paiement passés,Radio/Télévision,4771,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,51,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,54,Aucun crédit / tous remboursés,Voiture (occasion),9436,Pas d'épargne,1-4 ans,2,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,39,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
0-200 DM,30,Crédits en cours remboursés,Meubles/Équipement,3832,< 100 DM,< 1 an,2,Homme marié/veuf,Aucun,1,Épargne logement/Assurance vie,22,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,5943,Pas d'épargne,< 1 an,1,Femme divorcée/mariée,Aucun,1,Voiture ou autre,44,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,15,Crédits en cours remboursés,Radio/Télévision,1213,500-1000 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,47,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Business,1568,100-500 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,24,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Autres,1755,< 100 DM,>= 7 ans,4,Femme divorcée/mariée,Garant,4,Immobilier,58,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),10,Crédits en cours remboursés,Radio/Télévision,2315,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Immobilier,52,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Business,1412,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Garant,2,Immobilier,29,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,18,Compte critique / autres crédits,Meubles/Équipement,1295,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Éducation,12612,100-500 DM,1-4 ans,1,Homme célibataire,Aucun,4,Aucun patrimoine,47,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),18,Crédits en cours remboursés,Voiture (neuve),2249,100-500 DM,4-7 ans,4,Homme célibataire,Aucun,3,Voiture ou autre,30,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),12,Aucun crédit / tous remboursés,Réparations,1108,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,3,Immobilier,28,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,618,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,56,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),12,Compte critique / autres crédits,Voiture (occasion),1409,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Immobilier,54,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,797,Pas d'épargne,>= 7 ans,4,Femme divorcée/mariée,Aucun,3,Épargne logement/Assurance vie,33,Banque,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Mauvais client
>= 200 DM,24,Compte critique / autres crédits,Meubles/Équipement,3617,Pas d'épargne,>= 7 ans,4,Homme célibataire,Co-demandeur,4,Aucun patrimoine,20,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),1318,>= 1000 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,54,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,54,Aucun crédit / tous remboursés,Business,15945,< 100 DM,< 1 an,3,Homme célibataire,Aucun,4,Aucun patrimoine,58,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Éducation,2012,Pas d'épargne,4-7 ans,4,Femme divorcée/mariée,Aucun,2,Voiture ou autre,61,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Business,2622,100-500 DM,1-4 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,34,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,36,Compte critique / autres crédits,Radio/Télévision,2337,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,36,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,20,Retards de paiement passés,Voiture (occasion),7057,Pas d'épargne,4-7 ans,3,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,36,Banque,Location,2,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),1469,100-500 DM,>= 7 ans,4,Homme marié/veuf,Aucun,4,Immobilier,41,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Radio/Télévision,2323,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,24,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,6,Retards de paiement passés,Radio/Télévision,932,< 100 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,2,Immobilier,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,9,Compte critique / autres crédits,Meubles/Équipement,1919,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,3,Voiture ou autre,35,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Voiture (occasion),2445,Pas d'épargne,< 1 an,2,Homme marié/veuf,Aucun,4,Voiture ou autre,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,24,Compte critique / autres crédits,Autres,11938,< 100 DM,1-4 ans,2,Homme célibataire,Co-demandeur,3,Voiture ou autre,39,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Mauvais client
Pas de compte,18,Tous crédits remboursés ici,Voiture (neuve),6458,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Aucun patrimoine,39,Banque,Propriétaire,2,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Mauvais client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),6078,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,32,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Meubles/Équipement,7721,Pas d'épargne,< 1 an,1,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,30,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Non,Bon client
0-200 DM,14,Crédits en cours remboursés,Business,1410,500-1000 DM,>= 7 ans,1,Homme marié/veuf,Aucun,2,Immobilier,35,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
